title,url,download_urls
2017年甄子丹刘德华动作《追龙/卧虎2/跛豪》HD国语中字,https://www.ygdy8.com/html/gndy/dyzz/20171218/55834.html,['ftp://ygdy8:ygdy8@yg72.dydytt.net:8105/[阳光电影www.ygdy8.net].追龙.HD.720p.国语中字.mkv']
2018年剧情喜剧《亿男》BD日语中字,https://www.ygdy8.com/html/gndy/dyzz/20190524/58627.html,['ftp://ygdy8:ygdy8@yg90.dydytt.net:8538/阳光电影www.ygdy8.com.亿男.BD.720p.日语中字.mkv']
2019年高分纪录片《阿波罗11号》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190524/58628.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:3213/阳光电影www.ygdy8.com.阿波罗11号.BD.720p.中英双字幕.mkv']
2019年获奖剧情《撞死了一只羊》HD国语中字,https://www.ygdy8.com/html/gndy/dyzz/20190525/58632.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:7444/阳光电影www.ygdy8.com.撞死了一只羊.HD.720p.国语中字.mkv']
2019年剧情爱情《如影随心》HD国语中字,https://www.ygdy8.com/html/gndy/dyzz/20190525/58631.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:6164/阳光电影www.ygdy8.com.如影随心.HD.720p.国语中字.mkv']
2019年剧情战争《兰开斯特的天空》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190525/58633.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8444/阳光电影www.ygdy8.com.兰开斯特的天空.BD.720p.中英双字幕.mkv']
2019年科幻悬疑《欲念游戏》HD国语中字,https://www.ygdy8.com/html/gndy/dyzz/20190525/58634.html,['ftp://ygdy8:ygdy8@yg90.dydytt.net:8539/阳光电影www.ygdy8.com.欲念游戏.HD.720p.国语中字.mkv']
2018年惊悚动作《鳄口逃生》BD泰语中字,https://www.ygdy8.com/html/gndy/dyzz/20190527/58636.html,['ftp://ygdy8:ygdy8@yg90.dydytt.net:8540/阳光电影www.ygdy8.com.鳄口逃生.BD.720p.泰语中字.mkv']
2018年喜剧《高速路上一只猫》BD意大利语中字,https://www.ygdy8.com/html/gndy/dyzz/20181018/57643.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:7325/阳光电影www.ygdy8.com.高速路上一只猫.HD.720p.意大利语中字.mkv']
1024分辨率《杀人宝盒/百万杀人实验》BD中英双字无水印,https://www.ygdy8.com/html/gndy/dyzz/20100205/24382.html,['ftp://dygod1:dygod1@d050.dygod.org:1297/杀人宝盒.[中英双字.1024分辨率]/[电影天堂www.dygod.org]杀人宝盒BD中英双字.rmvb']
2018年剧情《开战/全面开战》BD法语中字,https://www.ygdy8.com/html/gndy/dyzz/20190517/58605.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8438/阳光电影www.ygdy8.com.开战.BD.720p.法语中字.mkv']
2019年剧情喜剧《教授》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190520/58618.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8442/阳光电影www.ygdy8.com.教授.BD.720p.中英双字幕.mkv']
2018年动作《叶问外传：张天志》BD国粤双语中字,https://www.ygdy8.com/html/gndy/dyzz/20190316/58347.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8409/阳光电影www.ygdy8.com.叶问外传：张天志.BD.720p.国粤双语中字.mkv']
2018年励志剧情《花牌情缘：终结》BD日语中字,https://www.ygdy8.com/html/gndy/dyzz/20190316/58346.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:7409/阳光电影www.ygdy8.com.花牌情缘：终结.BD.720p.日语中字.mkv']
2019年科幻冒险《环球卫士》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190527/58637.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8445/阳光电影www.ygdy8.com.环球卫士.BD.720p.中英双字幕.mkv']
2019年剧情动作《回火2》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190522/58620.html,['ftp://ygdy8:ygdy8@yg72.dydytt.net:8362/阳光电影www.ygdy8.com.回火2.BD.720p.中英双字幕.mkv']
2018年喜剧《来电狂响》HD国语中英双字,https://www.ygdy8.com/html/gndy/dyzz/20190207/58178.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:4116/阳光电影www.ygdy8.com.来电狂响.HD.1080p.国语中英双字.mkv']
2018年动作《叶问外传：张天志》HD国粤双语中字,https://www.ygdy8.com/html/gndy/dyzz/20190207/58179.html,['ftp://ygdy8:ygdy8@yg90.dydytt.net:8469/阳光电影www.ygdy8.com.叶问外传：张天志.HD.720p.国粤双语中字.mkv']
2018年冒险动作《罗宾汉》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190207/58176.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:3186/阳光电影www.ygdy8.com.罗宾汉.BD.720p.中英双字幕.mkv']
2018年动作喜剧《银魂2》BD日语中字,https://www.ygdy8.com/html/gndy/dyzz/20190206/58172.html,['ftp://ygdy8:ygdy8@yg90.dydytt.net:8467/阳光电影www.ygdy8.com.银魂2.BD.720p.日语中字.mkv']
2019年剧情《鹈鹕的故事》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190501/58527.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:8433/阳光电影www.ygdy8.com.鹈鹕的故事.BD.720p.中英双字幕.mkv']
2019年惊悚剧情《选美小姐》BD中英双字幕,https://www.ygdy8.com/html/gndy/dyzz/20190501/58528.html,['ftp://ygdy8:ygdy8@yg45.dydytt.net:7433/阳光电影www.ygdy8.com.选美小姐.BD.720p.中英双字幕.mkv']
